slug	rawpath	technique	family	severity	tags	source_sha256	review_status
open-redirection	Web attacks/Web Attacks/Open Redirection.md	Open Redirection	client-side	medium	XSS,Deserialization,Open Redirect,JavaScript,HTTP	8634688fafd91a9db195fac32f5b0ae30dfe25d4869e2fa5705be5c7949b24d8	imported-unreviewed
os-command-injection	Web attacks/Web Attacks/OS Command Injection.md	OS Command Injection	injection	critical	Remote Code Execution	4d4924b2ffab810d7fbd5796ad7693925745ec699e66a041b6d958cb72deb9ed	imported-unreviewed
parameter-pollution	Web attacks/Web Attacks/Parameter Pollution.md	Parameter Pollution	http-protocol	medium	HTTP,Open Redirect	108622864c3a14812fd2df7a00531c636f73f6128469e603965005a6226c22a9	imported-unreviewed
pdf-generators	Web attacks/Web Attacks/PDF Generators.md	PDF Generators	ssrf-xxe-file	medium	HTTP,PDF,SSRF,XSS,JavaScript	882d1481ebb6e24a1e920f4f75d2aa7b013b1c317bc4fa9a4e73de3bc38f2950	imported-unreviewed
php-filter-chain-lfi-rce	Web attacks/Web Attacks/PHP filter chain (LFI→ RCE).md	PHP filter chain (LFI→ RCE)	ssrf-xxe-file	critical	PHP,Remote Code Execution,Deserialization,HTTP	e0fef96a1a851134ff6f16f7a0786c9748657f9b6f1a46f2164f168df4ff9a1d	imported-unreviewed
prototype-pollution	Web attacks/Web Attacks/Prototype Pollution.md	Prototype Pollution	client-side	medium	JavaScript,Account Takeover,XSS,403,Remote Code Execution,HTTP,JS	207e2bcc7b9d9d33acbcddea3270df61914b9ea56ff0e05246a6880e59fe8652	imported-unreviewed
prototype-pollution-clientside-pp	Web attacks/Web Attacks/Prototype Pollution/Clientside PP.md	Clientside PP	client-side	medium		7eeb1d65bf23ad7ccbdfb4b12f52a96f9328aacc8d710bbf605c317af696d774	imported-unreviewed
prototype-pollution-filter-bypasses	Web attacks/Web Attacks/Prototype Pollution/Filter Bypasses.md	Filter Bypasses	client-side	medium		bfaf3cc1ecd957ed10d5ea08a8ca06ddd64e0dd6e21e6cabb6513ff2f6e3420a	imported-unreviewed
prototype-pollution-introduction-to-prototype-pollution	Web attacks/Web Attacks/Prototype Pollution/Introduction to Prototype Pollution.md	Introduction to Prototype Pollution	client-side	medium		8efe55376eb18a7d1893e1d25b0a9ea0d9a1b8f6eb00a97aadd0a441ff9fb252	imported-unreviewed
prototype-pollution-javascript-objects-and-prototypes	Web attacks/Web Attacks/Prototype Pollution/JavaScript Objects & Prototypes.md	JavaScript Objects & Prototypes	client-side	medium		6c71c45ee7d5a6d8d901c4bd281724e6c2a6adb982eb6af348e69cac2350d77b	imported-unreviewed
prototype-pollution-privilege-escalation	Web attacks/Web Attacks/Prototype Pollution/Privilege Escalation.md	Privilege Escalation	client-side	medium		ca186b48758fa8110613a06c9643ae0d0a572590c10572dca5730952567cdea1	imported-unreviewed
prototype-pollution-remarks	Web attacks/Web Attacks/Prototype Pollution/Remarks.md	Remarks	client-side	medium		99d9bda4f838cf205618cf0981bb313c47bbf8599d63b586f3b44999c3f0e5ac	imported-unreviewed
prototype-pollution-remote-code-execution	Web attacks/Web Attacks/Prototype Pollution/Remote Code Execution.md	Remote Code Execution	client-side	critical		9ca4d22765315f1f621e2c291fcd17d18044d94650ae07f0e61574ee2dc88232	imported-unreviewed
race-conditions-and-timing-attacks	Web attacks/Web Attacks/Race Conditions & Timing Attacks.md	Race Conditions & Timing Attacks	misc	medium	Race Condition,User Enumeration,HTTP	4e35690df77afbcc57739a19cd173851855835052c295e2d41dc979b4d99dae3	imported-unreviewed
race-conditions-and-timing-attacks-data-exfiltration-via-response-timing	Web attacks/Web Attacks/Race Conditions & Timing Attacks/Data Exfiltration via Response Timing.md	Data Exfiltration via Response Timing	misc	medium		073615d6c106a2b70ed66d1394dcc93ab9b9ad621e6a6221647d8de3fecd7751	imported-unreviewed
race-conditions-and-timing-attacks-general	Web attacks/Web Attacks/Race Conditions & Timing Attacks/General.md	General	misc	medium		4d6cf9f481e021ae1d07e877d1c573a0584293ab7a7f1166bf025235165ea4f7	imported-unreviewed
race-conditions-and-timing-attacks-race-conditions	Web attacks/Web Attacks/Race Conditions & Timing Attacks/Race Conditions.md	Race Conditions	misc	medium		697c4746a2c6e08230ab2cede94ea2db1d98ae8e3d1a9bff60e0368c889925f5	imported-unreviewed
race-conditions-and-timing-attacks-user-enumeration-via-response-timing	Web attacks/Web Attacks/Race Conditions & Timing Attacks/User Enumeration via Response Timing.md	User Enumeration via Response Timing	misc	medium		cf5c006d9b74be2150fcec1a95e640d8768967c59b74fe5ee22019ed60c450e3	imported-unreviewed
rate-limit-bypass	Web attacks/Web Attacks/Rate-Limit Bypass.md	Rate-Limit Bypass	auth-session	medium	Rate-Limit,HTTP	9c9d3534abe9eda4a40709a79dcc33698a161d655ca435c788bd511a9e8a91c8	imported-unreviewed
saml	Web attacks/Web Attacks/SAML.md	SAML	auth-session	high	Authentication,SAML,API,Account Takeover,XXE,HTTP,Auth	92d39bf9a06270901f25a1729a889628a5459d1147e11ce517e3736f3423fc19	imported-unreviewed
shells	Web attacks/Web Attacks/Shells.md	Shells	misc	medium		7805da4bc1821aa2f762941fbd72e5e7002e0e5d5110e97f479c365b30d40c4b	imported-unreviewed
sign-up-login-register	Web attacks/Web Attacks/Sign Up (Login Register).md	Sign Up (Login / Register)	auth-session	medium	DoS,Account Takeover,XSS,User Enumeration,SQL Injection,JavaScript,HTTP	ef44525699ef8e2253a5a539c9bcd240346e9c10d9133da0804cd673040396ac	imported-unreviewed
sign-up-login-register-weak-password-policy	Web attacks/Web Attacks/Sign Up (Login Register)/Weak Password Policy.md	Weak Password Policy	auth-session	medium		0495426ddee6e971144aa9678608147759140b6525543550241466087efdcf81	imported-unreviewed
smtp-header-injection	Web attacks/Web Attacks/SMTP Header injection.md	SMTP Header injection	misc	medium	SMTP,EMail	b0d461b1e958abdf0f957d055e8f42d434130426ac5057c08208009ba83339bd	imported-unreviewed
sqli	Web attacks/Web Attacks/SQLi.md	SQLi	injection	critical	SQL Injection,Remote Code Execution,Account Takeover,NTLM,SQL	a45fb840dd005747aee501ff3225d3947341373cb6e4028175c574c637cf338b	imported-unreviewed
sqli-advanced-sqli-techniques	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques.md	Advanced SQLi Techniques	injection	critical		8d309a7e2e6fe2e1920e29d7790cf5234ed8e5424760ad6b85b476ed3bd9d44a	imported-unreviewed
sqli-advanced-sqli-techniques-common-character-bypasses	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Common Character Bypasses.md	Common Character Bypasses	injection	critical		19651278d7b8ad0b5fe702de0e2b4bf36538587bbacdb5b36e9e34dc640c4b56	imported-unreviewed
sqli-advanced-sqli-techniques-error-based-sqli	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Error-Based SQLi.md	Error-Based SQLi	injection	critical		f0957c66fd0a5e6ed6b0036a400190c266c303c7f4c8c2d196ea588c8c3baab7	imported-unreviewed
sqli-advanced-sqli-techniques-second-order-sqli	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Second-Order SQLi.md	Second-Order SQLi	injection	critical		3c692a794911953a690239bdb7ab69c78ae9c12b9bfdfa980e102520fd9f1a24	imported-unreviewed
sqli-advanced-sqlmap	Web attacks/Web Attacks/SQLi/Advanced SQLMap.md	Advanced SQLMap	injection	critical		9b7c68898a8d7f6590cc8a7cad8c52584722dc65cd34bb0443da09789ef6156a	imported-unreviewed
sqli-blind-sql-injection	Web attacks/Web Attacks/SQLi/Blind SQL Injection.md	Blind SQL Injection	injection	critical		64497cf2395c21daaf5837c314175dd0b4e8667b8cb4b59c8e2b4967d5e7b6c8	imported-unreviewed
sqli-custom-tampering	Web attacks/Web Attacks/SQLi/Custom Tampering.md	Custom Tampering	injection	critical		267cc42ffd79f2376d08dca613d513f07d9df09476dda6817b9a7ba618d4cf53	imported-unreviewed
sqli-file-read	Web attacks/Web Attacks/SQLi/File Read.md	File Read	injection	critical		8811d75832d36d170ca262d46bfca3296f84564a1ca0192094020a0cbf4ea517	imported-unreviewed
sqli-identifying-vulnerabilities	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities.md	Identifying Vulnerabilities	injection	critical		e174740fbad629f855ef967382b3918a232863c6564f0ec2021eb910487ad36d	imported-unreviewed
sqli-identifying-vulnerabilities-decompiling-java-archives	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities/Decompiling Java Archives.md	Decompiling Java Archives	injection	critical		27c2e7283853fcacb1eccf22ae4ec1644746e82856c58497d27958f6117923e7	imported-unreviewed
sqli-identifying-vulnerabilities-hunting-for-sql-errors	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities/Hunting for SQL Errors.md	Hunting for SQL Errors	injection	critical		8bab06384eccc53bcd4c304bf4cb0427f56f275053384476501244b6f29f3a90	imported-unreviewed
sqli-identifying-vulnerabilities-live-debugging-java-applications	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities/Live-Debugging Java Applications.md	Live-Debugging Java Applications	injection	critical		e71e924d60f533ad21409a7351deb22510f0ed09c5636c8dde453214c55e7f01	imported-unreviewed
sqli-identifying-vulnerabilities-searching-for-strings	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities/Searching for Strings.md	Searching for Strings	injection	critical		b024ddda4a2aaaa74ef9abfb1a037157ef1f6554ebd865c1991aa3456bd730a9	imported-unreviewed
sqli-intro-to-mssql-sql-server	Web attacks/Web Attacks/SQLi/Intro to MSSQL SQL Server.md	Intro to MSSQL/SQL Server	injection	critical		a2577c6938f99731c2031ae3973f87412dd35e37879332523036d660274e1ca5	imported-unreviewed
sqli-introduction-postgresql	Web attacks/Web Attacks/SQLi/Introduction PostgreSQL.md	Introduction PostgreSQL	injection	critical		5d691401b55ac3d922889d84edb0373360e3bedd916715ebf646c90f54743329	imported-unreviewed
sqli-leaking-netntlm-hashes	Web attacks/Web Attacks/SQLi/Leaking NetNTLM Hashes.md	Leaking NetNTLM Hashes	injection	critical		178d1e423b3d570c536d8572b8448a8c46522748f12ab2972b36b578fcd6c1a9	imported-unreviewed
sqli-mitigation	Web attacks/Web Attacks/SQLi/Mitigation.md	Mitigation	injection	critical		32ceff7b6c723f63ec0520c4a87998fd1bd627a16c58065a8e3801781cd1213a	imported-unreviewed
sqli-out-of-band-dns	Web attacks/Web Attacks/SQLi/Out-of-Band DNS.md	Out-of-Band DNS	injection	critical		bdfdddc446e3fbab7be3326a8db1f5ad49d0fad2108f35048d3ea6f41d994272	imported-unreviewed
sqli-postgresql-specific-techniques	Web attacks/Web Attacks/SQLi/PostgreSQL-Specific Techniques.md	PostgreSQL-Specific Techniques	injection	critical		2b6f4b471bcd64596a2a0fe152d4cf3adabb64f049e339dfa01aa263258ad977	imported-unreviewed
sqli-postgresql-specific-techniques-command-execution-rce	Web attacks/Web Attacks/SQLi/PostgreSQL-Specific Techniques/Command Execution (RCE).md	Command Execution (RCE)	injection	critical		bc3bc0638e7b64a6aba7b55d606a076978b92c6ea18b74a459ce60d8636826ce	imported-unreviewed
sqli-postgresql-specific-techniques-prevention	Web attacks/Web Attacks/SQLi/PostgreSQL-Specific Techniques/Prevention.md	Prevention	injection	critical		157b47a5e5ae2bb476bb092bbd850f88d43db43337e9f0c366612012cf58b18d	imported-unreviewed
sqli-postgresql-specific-techniques-reading-and-writing-files	Web attacks/Web Attacks/SQLi/PostgreSQL-Specific Techniques/Reading and Writing Files.md	Reading and Writing Files	injection	critical		d5b2b2df50919e224d28fab1838d205f2e1b0573be8d17395418c6ea04fab35a	imported-unreviewed
sqli-remote-code-execution	Web attacks/Web Attacks/SQLi/Remote Code Execution.md	Remote Code Execution	injection	critical		6160cafc0f29b4389748430549b26021b29cacc1c13fa6b2b0b0bde634ecc2b4	imported-unreviewed
sqli-time-based-sqli	Web attacks/Web Attacks/SQLi/Time-based SQLi.md	Time-based SQLi	injection	critical		469fdfa9291ccee95c0bbaeb34fbfff9f27acbbc90cb83545f09afa20fb6b260	imported-unreviewed
ssrf	Web attacks/Web Attacks/SSRF.md	SSRF	ssrf-xxe-file	high	SSRF,Open Redirect,DNS,Account Takeover,HTTP	10b2fcb3d77ec2eb29844d2cccda2c25ebcefbd172c290d6f9f0918f623152eb	imported-unreviewed
ssti	Web attacks/Web Attacks/SSTI.md	SSTI	injection	critical	Template Injection,Remote Code Execution,HTTP,Account Takeover,RCE	b638d0be482d60c861eb3bef9d31e4561ffde1b02eaab9916f83a4c97482398f	imported-unreviewed
status-code-bypass	Web attacks/Web Attacks/Status Code Bypass.md	Status Code Bypass	http-protocol	low	403,HTTP	dccf900ce88225756c794be8c41528efa264f4b05e249e7a1c871ff7c59b1f3e	imported-unreviewed
tabnabbing	Web attacks/Web Attacks/Tabnabbing.md	Tabnabbing	client-side	low	HTML	d1a5d6040e5d7c0947690868d96fe0faf8252405a4e9a1a157b0692f5c80e619	imported-unreviewed
type-juggling	Web attacks/Web Attacks/Type Juggling.md	Type Juggling	auth-session	medium	PHP,Account Takeover,Authentication,HTTP,Session Tokens	421069ce4d2f519c9806189837d676ee56337cc10e92bf71cfd4b0bb65489595	imported-unreviewed
type-juggling-authentication-bypass	Web attacks/Web Attacks/Type Juggling/Authentication Bypass.md	Authentication Bypass	auth-session	high		b18aec676cd570fd9bfa563615a3eb1ab528e21ca6757a1b10151b879f02a953	imported-unreviewed
type-juggling-introduction-to-type-juggling	Web attacks/Web Attacks/Type Juggling/Introduction to Type Juggling.md	Introduction to Type Juggling	auth-session	medium		f07bd38865b7bcb95ab54dbd5557790d56779596263faa338dac273ee27d0388	imported-unreviewed
unbenannt	Web attacks/Web Attacks/Unbenannt.md	Unbenannt	misc	medium		9605a06251c8a236b83e1350372932ee299b202bd857e6d6b250b0e4b6e667e8	imported-unreviewed
uuids	Web attacks/Web Attacks/UUIDs.md	UUIDs	auth-session	low		9cc9ba0acfb67a608d8e848288a378c6ed6570a38567c130be359f9fda86ab5c	imported-unreviewed
waf-bypasses	Web attacks/Web Attacks/WAF Bypasses.md	WAF Bypasses	misc	medium	403,HTTP	988184cf25846a9f834db4bbedd0d52528c1340d45245ed289afaf7373d20fee	imported-unreviewed
web-attacks	Web attacks.md	Web attacks	misc	medium		b7382aa27dc5106267beae735c3c5b7c535f05797feef784d7f3272f88165ab5	imported-unreviewed
websocket-attacks	Web attacks/Web Attacks/WebSocket Attacks.md	WebSocket Attacks	client-side	medium	Web Sockets,HTTP,XSS,SQL Injection,Account Takeover	8d74ff113ca57d83aa61fbbc589b481d6f94c1abcc6b7345043ba01fe003ba93	imported-unreviewed
websocket-attacks-other-attacks-via-websockets	Web attacks/Web Attacks/WebSocket Attacks/Other attacks via WebSockets.md	Other attacks via WebSockets	client-side	medium		ffbccce8c5119e4c4dc32a52383a593e2f8cb2ef996541d74c18cef315922e79	imported-unreviewed
websocket-attacks-tools-and-prevention	Web attacks/Web Attacks/WebSocket Attacks/Tools & Prevention.md	Tools & Prevention	client-side	medium		36b50527ecaa3ce1358bc9120d8d947a918ed98451b29b176f9bba40198ac438	imported-unreviewed
websocket-attacks-websocket-analysis-in-burp	Web attacks/Web Attacks/WebSocket Attacks/WebSocket Analysis in Burp.md	WebSocket Analysis in Burp	client-side	medium		de7934fc4fd38f5cbf2e45db5587930afce608cc361630c97b747df54d91fdb7	imported-unreviewed
xpath-injections	Web attacks/Web Attacks/XPath Injections.md	XPath Injections	injection	medium	Authentication,Account Takeover,xPath,XML,Microsoft	2f13f0aadf0ae22edbee55e9d1d1534ce498cac3845ecbc99ad2def9ac9539fc	imported-unreviewed
xpath-injections-xpath-advanced-data-exfiltration	Web attacks/Web Attacks/XPath Injections/XPath - Advanced Data Exfiltration.md	XPath - Advanced Data Exfiltration	injection	medium		e7a71d587a2da85b4991203412ef2fa7b7a1cda14f2f8e18b0d9752280bd0215	imported-unreviewed
xpath-injections-xpath-authentication-bypass	Web attacks/Web Attacks/XPath Injections/XPath - Authentication Bypass.md	XPath - Authentication Bypass	injection	high		4514542cc3e62f7ab64249bbad7f14076844d58b3bdcf7839aa9333e56ddf606	imported-unreviewed
xpath-injections-xpath-blind-exploitation	Web attacks/Web Attacks/XPath Injections/XPath - Blind Exploitation.md	XPath - Blind Exploitation	injection	medium		47bbda63184a3b403ba40d4e520f15b39cd7e733412f3cedcb808ccea23efafc	imported-unreviewed
xpath-injections-xpath-data-exfiltration	Web attacks/Web Attacks/XPath Injections/XPath - Data Exfiltration.md	XPath - Data Exfiltration	injection	medium		6fe6a984e6be498e1a402d592daee9b5ac13d0104d707768cc2f568f5bc84640	imported-unreviewed
xpath-injections-xpath-tools-and-prevention	Web attacks/Web Attacks/XPath Injections/XPath Tools & Prevention.md	XPath Tools & Prevention	injection	medium		7a40de72261d809d644e50c62556e2f5831dfb5d4876f20e6ee645b4e1769871	imported-unreviewed
xss	Web attacks/Web Attacks/XSS.md	XSS	client-side	medium	JavaScript,HTML,XSS,CSRF,Content Security Policy,Account Takeover,Session Tokens,Authentication,JS	5020cb9511d37066fe1c86c5d7e1c2e624402a3e4d87ecefe7d67b90fd6dceb9	imported-unreviewed
xss-paramspider	Web attacks/Web Attacks/XSS/paramspider.md	paramspider	client-side	medium		dd3f9a10c00e78087ec859ce3e9429bc916483a7afdc6e7ce4d026614f93bb6f	imported-unreviewed
xxe	Web attacks/Web Attacks/XXE.md	XXE	ssrf-xxe-file	critical	XXE,XML,Remote Code Execution,SSRF,XSS,DoS,403,NTLM,PDF,PHP,HTTP	61e40636566d70de306acaffa3b844b1ccd5268252a1b439ec4327d35dcb427b	imported-unreviewed
xxe-advanced-file-disclosure	Web attacks/Web Attacks/XXE/Advanced File Disclosure.md	Advanced File Disclosure	ssrf-xxe-file	critical		a154d9da8fc50a486dbe1ef9f9fd4dd7112c99cdcb32b050d50e38059a07245d	imported-unreviewed
xxe-blind-data-exfiltration	Web attacks/Web Attacks/XXE/Blind Data Exfiltration.md	Blind Data Exfiltration	ssrf-xxe-file	critical		69904b35434c446c9663810b21dc52b424f3d0a564bd23cb6fd66715e0b3a104	imported-unreviewed
xxe-dtd-s	Web attacks/Web Attacks/XXE/DTD’s.md	DTD’s	ssrf-xxe-file	critical		c35c1c560a9b2e88ce65342dad6616916eac9315e96873796353a38b77e20533	imported-unreviewed
xxe-lfi-and-rce	Web attacks/Web Attacks/XXE/LFI and RCE.md	LFI and RCE	ssrf-xxe-file	critical		13bfb96a3ae7ae3a239ae29ea5581e68c3a11220f488b6e734f53ce538cf62aa	imported-unreviewed
